DATE,ADJUSTED_ONTIME_COUNT,ADJUSTED_EARLY_COUNT,ADJUSTED_LATE_COUNT,Total,OnTime_Pct,Early_Pct,Late_Pct
2023-08-01,5028,215,953,6196,81.14912846998064,3.4699806326662364,15.380890897353131
2023-08-02,5162,241,977,6380,80.9090909090909,3.777429467084639,15.313479623824453
2023-08-03,4949,216,1210,6375,77.6313725490196,3.3882352941176466,18.980392156862745
2023-08-04,4377,263,1275,5915,73.99830938292476,4.4463229078613695,21.55536770921386
2023-08-05,3136,131,802,4069,77.07053330056524,3.219464241828459,19.71000245760629
2023-08-06,3035,130,409,3574,84.9188584219362,3.6373810856183546,11.443760492445438
2023-08-07,5288,234,794,6316,83.7238758708043,3.70487650411653,12.571247625079163
2023-08-08,5019,225,1145,6389,78.55689466270151,3.521677883862889,17.921427453435594
2023-08-09,4760,183,1361,6304,75.50761421319797,2.902918781725888,21.589467005076145
2023-08-10,4691,182,1223,6096,76.9520997375328,2.9855643044619424,20.06233595800525
2023-08-11,4886,197,1297,6380,76.58307210031347,3.0877742946708464,20.329153605015673
2023-08-12,3324,121,630,4075,81.57055214723925,2.9693251533742333,15.460122699386503
2023-08-13,3129,130,368,3627,86.26964433416046,3.584229390681003,10.146126275158533
2023-08-14,5374,252,786,6412,83.81160324391766,3.9301310043668125,12.258265751715532
2023-08-15,5155,173,1059,6387,80.71081885079067,2.708626898387349,16.580554250821983
2023-08-16,4886,215,1158,6259,78.06358843265697,3.4350535229269856,18.50135804441604
2023-08-17,4886,203,1215,6304,77.50634517766497,3.2201776649746194,19.273477157360404
2023-08-18,4611,184,1483,6278,73.44695762981841,2.9308697037273017,23.622172666454286
2023-08-19,3261,82,749,4092,79.69208211143695,2.0039100684261975,18.304007820136853
2023-08-20,3185,96,375,3656,87.11706783369803,2.62582056892779,10.25711159737418
2023-08-21,5261,204,891,6356,82.77218376337319,3.2095657646318436,14.018250471994964
2023-08-22,5057,229,1016,6302,80.24436686766107,3.6337670580768013,16.12186607426214
2023-08-23,5147,226,923,6296,81.75031766200762,3.5895806861499366,14.660101651842439
2023-08-24,5134,181,1031,6346,80.9013551843681,2.852190356129846,16.24645445950205
2023-08-25,4577,157,1388,6122,74.76314929761516,2.5645213982358706,22.67232930414897
2023-08-26,3369,105,644,4118,81.81155900922778,2.5497814473045164,15.638659543467703
2023-08-27,3178,95,333,3606,88.13089295618414,2.634498058790904,9.234608985024959
2023-08-28,5374,228,714,6316,85.08549715009501,3.609879670677644,11.30462317922736
2023-08-29,5113,155,1022,6290,81.28775834658187,2.46422893481717,16.248012718600954
2023-08-30,5140,148,1072,6360,80.81761006289308,2.3270440251572326,16.855345911949684
2023-08-31,4760,144,1297,6201,76.76181261086921,2.3222060957910013,20.915981293339783
2023-09-01,4733,198,1242,6173,76.67260651223067,3.2075166045682812,20.119876883201037
2023-09-02,2816,64,1080,3960,71.11111111111111,1.6161616161616161,27.27272727272727
2023-09-03,3097,117,397,3611,85.76571586818056,3.2400996953752426,10.994184436444199
2023-09-04,3143,139,316,3598,87.35408560311284,3.8632573652028905,8.782657031684268
2023-09-05,5244,166,886,6296,83.29097839898348,2.636594663278272,14.072426937738246
2023-09-06,5021,171,1153,6345,79.1331757289204,2.6950354609929077,18.171788810086685
2023-09-07,5103,171,1004,6278,81.2838483593501,2.7237973877030903,15.992354252946797
2023-09-08,5139,176,1105,6420,80.04672897196262,2.7414330218068534,17.21183800623053
2023-09-09,3307,81,671,4059,81.47326927814733,1.9955654101995564,16.53116531165312
2023-09-10,2963,92,325,3380,87.66272189349112,2.72189349112426,9.615384615384617
2023-09-11,5277,179,869,6325,83.43083003952569,2.8300395256916997,13.73913043478261
2023-09-12,4938,148,1280,6366,77.56833176248821,2.3248507697141063,20.106817467797676
2023-09-13,4902,154,1274,6330,77.44075829383887,2.432859399684044,20.12638230647709
2023-09-14,4846,158,1242,6246,77.58565481908421,2.5296189561319244,19.88472622478386
2023-09-15,4469,110,1640,6219,71.86042772149864,1.7687731146486574,26.37079916385271
2023-09-16,3428,97,536,4061,84.41270622999262,2.3885742427973407,13.198719527210045
2023-09-17,2582,86,725,3393,76.09784851164162,2.534630120837017,21.367521367521366
2023-09-18,5203,235,845,6283,82.81075919146905,3.7402514722266433,13.448989336304312
2023-09-19,4894,222,1096,6212,78.783000643915,3.5737282678686415,17.643271088216355
2023-09-20,4885,162,1287,6334,77.1234606883486,2.5576255131038836,20.318913798547523
2023-09-21,4645,138,1318,6101,76.13505982625799,2.261924274709064,21.603015899032947
2023-09-22,4604,138,1459,6201,74.24608934042897,2.2254475084663765,23.52846315110466
2023-09-23,3022,62,972,4056,74.5069033530572,1.5285996055226825,23.964497041420117
2023-09-24,3084,101,414,3599,85.69046957488192,2.8063350930814113,11.503195332036677
2023-09-25,5399,194,790,6383,84.58405138649537,3.0393232022559924,12.376625411248629
2023-09-26,5054,152,1130,6336,79.76641414141415,2.398989898989899,17.83459595959596
2023-09-27,5106,135,1092,6333,80.62529606821411,2.131691141639034,17.24301279014685
2023-09-28,5016,177,1127,6320,79.36708860759494,2.800632911392405,17.832278481012658
2023-09-29,4577,129,1500,6206,73.75120850789558,2.0786335804060583,24.170157911698357
2023-09-30,3299,78,663,4040,81.65841584158416,1.9306930693069306,16.41089108910891
