OPERATOR,ADJUSTED_ONTIME_COUNT,ADJUSTED_EARLY_COUNT,ADJUSTED_LATE_COUNT,Total,OnTime_Pct
1266,2522,75,268,2865,88.0279232111693
1147,2439,159,88,2686,90.8041697691735
1133,2505,13,107,2625,95.42857142857143
2352,2148,216,241,2605,82.45681381957773
2424,2146,46,325,2517,85.26023043305523
304,2155,3,275,2433,88.5737772297575
2399,2041,21,367,2429,84.02634829147797
1927,2317,38,58,2413,96.02154993783671
332,1820,54,518,2392,76.08695652173914
2246,1895,25,462,2382,79.55499580184718
409,2310,9,61,2380,97.05882352941177
2760,1835,38,487,2360,77.7542372881356
1368,2117,42,190,2349,90.12345679012346
1762,2294,16,23,2333,98.32833261894557
2706,1784,98,428,2310,77.22943722943722
1410,2027,28,243,2298,88.20713664055701
1650,1699,15,581,2295,74.03050108932462
2733,1855,118,289,2262,82.00707338638374
379,2172,31,56,2259,96.14873837981408
1566,2135,17,48,2200,97.04545454545455
2780,1767,39,392,2198,80.39126478616924
1623,1664,25,489,2178,76.40036730945822
1582,1821,11,343,2175,83.72413793103448
520,1537,25,572,2134,72.02436738519212
1761,1917,178,31,2126,90.16933207902163
1170,1923,187,13,2123,90.57936881771079
326,1592,45,483,2120,75.09433962264151
1204,1336,15,767,2118,63.078375826251175
1824,1750,35,323,2108,83.01707779886148
1590,1585,12,506,2103,75.36852116024727
2109,1139,18,936,2093,54.41949354992833
1823,1834,34,222,2090,87.7511961722488
1914,1802,21,266,2089,86.26136907611297
1401,1601,54,425,2080,76.97115384615385
329,1749,35,264,2048,85.400390625
3031,1504,40,499,2043,73.61722956436613
559,1687,3,340,2030,83.10344827586206
1237,1456,58,507,2021,72.04354280059377
2088,1876,52,93,2021,92.82533399307273
2638,1586,34,367,1987,79.81882234524409
2001,1561,12,398,1971,79.19837645865043
3090,1474,12,485,1971,74.7843734145104
2062,1523,61,386,1970,77.30964467005076
1372,1730,3,214,1947,88.85464817668208
2990,1390,115,436,1941,71.61257083977331
2630,1485,35,407,1927,77.0627919045148
659,1492,379,44,1915,77.911227154047
2164,1532,27,350,1909,80.25144054478784
1361,1567,162,158,1887,83.04186539480656
3064,1113,22,750,1885,59.04509283819629
1190,1603,30,244,1877,85.40223761321258
2012,1367,12,482,1861,73.45513164965072
1992,1660,20,177,1857,89.39149165320408
2053,1389,19,445,1853,74.95952509444145
1343,1671,62,109,1842,90.71661237785015
1222,1441,8,383,1832,78.65720524017468
1208,1641,44,141,1826,89.86856516977
522,1753,13,53,1819,96.37163276525563
1617,1721,31,54,1806,95.29346622369879
1788,1483,30,288,1801,82.34314269850084
517,1503,8,272,1783,84.29613011777903
1500,1354,115,304,1773,76.3677382966723
1040,1695,53,22,1770,95.76271186440678
1792,1405,5,360,1770,79.37853107344633
2793,1382,31,352,1765,78.30028328611898
2082,1028,7,724,1759,58.44229675952246
2374,1625,13,108,1746,93.06987399770905
1052,1562,7,174,1743,89.61560527825588
1177,1374,27,319,1720,79.88372093023256
2055,1420,2,281,1703,83.38226658837345
1352,954,11,728,1693,56.34967513290018
1893,1439,17,214,1670,86.16766467065868
785,1455,120,85,1660,87.65060240963855
2567,1317,43,294,1654,79.62515114873035
1800,789,26,810,1625,48.55384615384615
778,1323,103,170,1596,82.89473684210526
2832,1169,63,364,1596,73.24561403508771
1305,1490,27,73,1590,93.71069182389937
357,866,35,683,1584,54.67171717171717
1682,1454,11,118,1583,91.85091598231206
2112,1199,234,136,1569,76.41810070108349
1948,1306,10,245,1561,83.66431774503523
2161,1363,15,176,1554,87.7091377091377
1359,922,81,545,1548,59.56072351421189
2041,1437,14,97,1548,92.82945736434108
2963,1173,6,367,1546,75.8732212160414
2200,1320,13,209,1542,85.60311284046692
2765,1069,64,395,1528,69.9607329842932
1717,1259,178,50,1487,84.66711499663752
1842,1090,45,336,1471,74.09925220938138
2040,1255,86,124,1465,85.6655290102389
2967,1207,24,222,1453,83.06951135581555
2324,1162,12,277,1451,80.08270158511371
414,1196,26,227,1449,82.53968253968253
2371,1124,92,230,1446,77.731673582296
2500,1054,47,345,1446,72.89073305670816
1330,1261,55,117,1433,87.99720865317515
2689,1089,9,335,1433,75.99441730635031
1763,1210,14,204,1428,84.73389355742297
2321,1335,19,66,1420,94.01408450704226
